@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,2
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,2
1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,7
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,5
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,1
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,3
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,3
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,2
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,1
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,5
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,1
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,6
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,1
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,7
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,1
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,1
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,7
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,7
1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,7
