@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
40841,1,7.6,179,389,168,69,3.5,1240,7.8,202,272,72.1,6,1381,7.8,148,302,92,78.3,0.3,1425,7.9,16,83,20,85,0,1416,26.7,66.2,95,89.2,72.5,91.1,78.7,88.1,100,1
52933,1.75,7.9,135,317,180,53.5,3.5,1362,7.9,181,268,59.7,4.6,1417,7.6,114,285,104,71.2,0.5,1459,7.8,14,91,22,86.4,0,1555,37,61.2,89.1,87.7,68.1,89.6,71.3,87.8,100,1
28923,0.7,7.2,133,467,186,65.6,4.59,1398,7.4,141,216,64.8,5.03,1425,7.5,130,393,76,84.2,0.41,1586,7.5,20,147,31,83.9,0.03,1543,7.8,64.8,90.55,84.6,62.6,85,68.5,83.3,99.08,1
44198,7,7.7,257,667,1016,31.5,22,1478,7.8,212,572,36.4,12.5,1422,7.9,135,210,108,57.4,0.2,1358,8,16,56,15,73.3,0,1378,36.3,81.1,98.4,88.1,73.3,93.8,91.6,98.5,100,5
44158,8.1,8,124,463,230,47.8,4.59,1599,7.9,123,230,48.7,3,1586,7.9,94,251,88,63.6,0.41,1631,7.6,27,90,20,70,0.03,1554,23.6,61.7,90.55,71.3,64.1,78.2,80.6,91.3,99.08,5
42596,3,7.7,138,259,456,22.8,4,1007,7.6,160,584,26.7,7.5,1039,7.6,101,176,126,47.6,0.5,1113,7.6,22,59,16,68.8,0,1194,36.9,78.4,93.3,78.2,66.5,84.1,77.2,96.5,100,5
34528,1,7.9,262,444,324,48.1,6.5,1319,7.9,279,380,43.2,6,1362,7.9,161,347,90,77.8,0.4,1476,7.6,31,174,67,73.6,0.5,1398,42.3,76.3,94.2,80.7,49.9,88.2,60.8,79.3,92.3,5
45027,2.5,7.7,48,156,242,25.6,1.4,1400,7.9,63,266,24.8,1.9,1403,7.8,37,112,84,47.6,0.2,1363,8,5,60,12,83.3,0,1407,41.3,68.4,89.5,86.5,46.4,89.6,61.5,95,100,5
32680,2.6,8.2,334,594,256,67.2,7,1380,8.3,268,238,67.2,5.5,1400,8.2,180,372,118,66.1,0.9,1352,7.9,20,62,11,80,0,1167,32.8,50.4,83.6,88.9,83.3,94,89.6,95.7,100,1
32954,0.7,7.7,269,423,192,67.7,6,1164,7.9,360,266,58.6,7,1170,7.9,145,314,94,70.2,0.6,1222,7.7,16,110,15,97.8,0,1149,59.7,64.7,91.4,89,65,94.1,74,92.2,100,1
32736,5.3,8.2,257,629,312,71.8,7.5,1823,8.2,259,264,72,6.3,1767,8.2,199,374,104,78.8,0.6,1871,7.8,28,108,22,90.9,0.02,1850,23.2,60.6,90.4,85.9,71.1,89.1,82.8,92.9,99.7,1
43614,6.5,7.8,143,400,472,61.39,6.5,2230,7.8,95,226,60.37,4,2160,7.8,97,235,74,72.96,0.3,2170,7.8,14,82,12,80.15,0.02,1910,39.08,67.3,93.8,85.6,65.1,90.2,79.5,97.5,99.7,5
34667,6,7.2,165,315,170,64.7,4.59,1125,7.3,219,180,67.8,5.03,1151,7.3,121,235,86,81.4,0.41,1204,7.4,11,53,19,73.7,0.03,1306,44.7,52.2,90.55,90.9,77.4,93.3,83.2,88.8,99.08,1
32127,17,7.7,188.71,526,292,63.7,7.5,2240,7.6,244,344,62.8,9,2220,7.7,193,450,134,70.1,1.3,2450,7.5,28,92,36,80.6,0.01,2580,20.9,61,85.6,85.5,79.6,89.01,82.5,87.7,99.9,1
34291,8,7.9,192,433,300,57.3,7,1395,7.9,269,436,50.5,11.5,1335,7.9,138,294,108,68.5,0.3,1378,7.8,15,60,12,91.7,0.02,1423,48.7,75.2,97.8,89.1,79.6,92.2,86.1,96,99.7,5
28437,1.02,7.9,176,387,162,75.3,3.8,1344,7.9,178,156,79.5,3,1331,7.9,155,312,100,84,0.6,1420,7.7,17,51,14,71.4,0,1468,12.9,35.9,80,89,83.7,90.3,86.8,91.4,100,1
30019,4.5,7.6,175,416,224,51.8,4.5,1463,7.7,183,214,57,3.5,2120,7.7,105,274,104,62.9,0.8,2250,7.9,18,87.29,21,66.7,0.05,2610,42.6,51.4,77.1,82.9,67.67,89.7,77.85,90.6,98.9,5
29388,0.83,8.2,339,713,356,72.5,10,2170,8,334,584,83.6,8.5,2110,7.9,223,372,116,84.5,1.3,2140,7.6,17,83,12,71.7,0.01,2330,33.2,80.1,84.7,92.4,77.7,95,88.4,96.6,99.9,1
34893,1.2,8,235,406.89,228,75.4,7,1532,8,232,252,77.8,8,1532,7.8,165,345,92,80.4,0.3,1478,7.6,25,125,25,90.6,0,1445,28.9,63.5,96.9,84.8,63.8,89.4,77.85,89,100,1
33636,33.5,7.5,166,481,368,51.1,6.3,1355,7.6,155,302,54.3,5.5,1359,7.9,110,283,96,75,0.3,1283,8,29,113,22.23,80.15,0.03,1240,29,68.2,94.5,73.6,60.1,82.5,76.5,88.96,99.08,5
33535,0.32,7.8,192,346,172,68.6,4,988,7.8,210,192,68.8,4.5,991,7.7,100,215,80,73.8,0.1,966,7.9,17,88,16,90,0,950,39.08,58.3,97.8,83,59.1,91.1,74.6,90.7,100,1
33000,1.5,7.7,153,404,238,56.3,4.5,1049,7.7,138,184,63,2.7,1073,7.7,114,265,116,69,0.5,1061,7.7,33,111,41,80.5,0.03,1126,17.4,37,81.5,71.1,58.1,78.4,72.5,82.8,99.4,1
30701,0.62,8.1,136,447,196,60.2,4.5,1105,8.3,159,188,60.6,3.5,1120,7.8,114,247,74,78.4,0.4,1155,7.6,29,106,27,85.2,0.01,1312,28.3,60.6,88.6,74.6,57.1,78.7,76.3,86.2,99.8,1
27415,0.9,7.7,241,332,158,65.8,4,1133,7.8,182,194,67,3.3,1148,7.9,118,256,90,80,0.3,1190,7.7,12,156,11,70.9,0.05,1236,35.2,53.6,90.8,89.8,39.1,95,53,93,99,1
34097,0.72,7.8,192,330,190,57.9,5.5,1775,7.8,206,218,55.1,5.5,1782,7.8,117,275,82,73.2,0.2,1716,7.7,10,70,19,67.4,0.02,1605,43.2,62.4,96.4,91.5,74.5,94.8,78.8,90,99.6,1
33988,2.5,7.8,161,391,148,73,4.5,1551,7.9,183,170,69.4,4,1505,7.9,151,313,86,86,0.9,1512,7.8,19,94,14,97.2,0.02,1439,17.5,49.4,77.5,87.4,70,88.2,76,90.5,99.6,1
37730,0.7,8,427,815,204,70.6,4.59,1455,7.9,517,186,73.1,5.03,1558,7.9,122.34,423,118,78,0.41,1602,7.4,23,101,20,88,0.03,1590,39.08,36.6,90.55,83.44,76.1,94.6,87.6,90.2,99.08,1
33714,2.65,8.4,228,473,200,74,4.59,1542,8.3,224,280,69.3,5.03,1546,8.1,146,335,106,81.1,0.41,1658,7.7,31,117,22,90.9,0.03,1645,34.8,62.1,90.55,78.8,65.1,86.4,75.3,89,99.08,1
29793,2.4,7.6,137,372,170,71.8,4,1704,7.7,143,172,60.37,3.3,1616,7.7,100,290,76,81.6,0.5,1705,7.8,10,78,10,100,0.01,1817,30.1,55.8,84.6,90,73.1,92.7,79,94.1,99.8,1
37009,1.5,8.3,181,348,184,84.8,4.5,1337,8.3,278,200,78,5.5,1479,8.3,124,264,76,89.5,0.2,1544,7.8,21,48,19,90.5,0,1605,55.4,62,96.4,83.1,81.8,88.4,86.2,89.7,100,1
40498,10,8.1,202,476,300,49.3,3.7,1636,8,206,252,50.8,3.5,1579,7.9,186,394,108,72.2,1.3,1413,7.5,27,75,22,90.9,0.05,1291,9.7,57.1,62.9,85.5,81,86.6,84.2,92.7,98.6,1
39024,3,7.7,188.71,443,214,69.2,6.5,2660,7.7,206.2,244,75.4,7.7,2570,7.6,122.34,474,96,79.2,0.4,2700,7.5,19.98,91,17,94.1,0,2590,39.08,60.7,94.8,83.44,80.8,89.01,79.5,92.1,100,1
27333,2,7.6,238,348,174,64.4,3.5,1110,7.6,372,124,75.8,2.5,1105,7.4,172,364,104,78.8,1,1171,7.4,44,210,73,81.1,1.5,1256,53.8,16.1,60,74.4,42.3,81.5,39.7,58,57.1,3
24978,0.5,7.3,146,288,124,67.7,2,1210,7.4,145,109,68.8,1.3,1164,7.4,81,200,52,67.3,0.1,1202,7.5,20,87.29,29,82.9,0.02,1259,39.08,52.3,92.3,75.3,67.67,86.3,77.85,76.6,99,1
38761,4,7.5,438,681,370,56.8,6,1396,7.6,212,348,64.4,6,1446,7.6,148,350,88,77.3,0.2,1356,7.6,15,120,11,70.9,0,1311,30.2,74.7,96.7,89.9,65.7,96.6,82.4,97,100,1
34573,0.71,7.7,156,276,146,71.2,3.3,1265,7.7,166,206,66,4.5,1270,7.7,114,176,124,72.6,0.9,1260,7.7,30,43,44,79.5,0.5,1270,31.3,39.8,80,73.7,75.6,80.8,84.4,69.9,84.6,1
46791,2.2,7.9,206,305,188,56.4,4,1200,7.9,206.2,272,50,6,1228,7.9,113,210,88,65.9,0.2,1237,7.9,14,55,10,92,0,1084,39.08,67.6,97.5,87.6,73.8,93.2,82,94.7,100,5
31447,3.5,7.9,190,374,192,70.8,6.5,1494,7.8,204,184,71.1,4.5,1462,7.7,121,259,100,82,0.5,1562,7.5,21,108,22,84.1,0.05,1596,40.7,45.7,88.9,82.6,58.3,88.9,71.1,88.5,99.2,1
51575,2.42,7.7,123,246,186,39.8,2.5,1288,7.7,241,300,25.3,4.5,1328,7.7,101,202,86,37.2,0.2,1287,7.7,12,70,15,56,0.02,1317,58.1,71.3,95.6,88.1,65.3,90.2,71.5,91.9,99.2,5
33029,3.4,7.9,226,624,264,75,4.59,2150,7.8,336,226,75.2,5.03,2070,7.7,164,348,82,95.1,0.41,2240,7.6,27,60,22,86.4,0.03,2210,51.2,63.7,90.55,83.5,82.8,88.1,90.4,91.7,99.08,1
43940,3.5,7.8,149,361,186,62.4,3.2,1651,7.8,204,204,66.7,5,1751,7.9,155,345,106,69.8,0.5,1623,7.5,27,103,38,81.6,0.05,1597,24,48,90,82.6,70.1,81.9,71.5,79.6,98.4,1
35098,0.8,7.8,100,256,234,37.6,2.5,993,7.8,97,168,50,1.3,953,7.8,122.34,140,95,52.6,0.4,1034,8,11,58,10,76,0,985,39.08,43.5,68,83.44,58.6,89,77.3,95.7,100,1
49314,2.3,8.1,166,318,118,55.9,2.5,1820,8,198,134,62.7,2,1779,8.1,95,213,60,70,0.2,1768,7.9,15,74,12,76.7,0.01,1810,52,55.2,90,84.2,65.3,91,76.7,89.8,99.6,5
34069,1.2,7.5,89,298,116,68.9,2,1119,7.7,89,120,70,2.3,1103,7.7,79,250,74,81,0.2,1188,7.6,16,42,22,83.6,0.03,1149,11.2,38.3,91.1,79.7,83.2,82,85.9,81,98.8,1
34193,2,8,166,396,176,70.5,4,1265,8,178,188,70.2,5.5,1380,7.8,165,368,90,77.8,0.2,1434,7.5,26,106,31,83.9,0,1442,7.3,52.1,96.4,84.2,71.2,84.3,73.2,82.4,100,1
34290,3.03,8.1,194,435,166,72.3,4,1770,8.1,213,260,70,5.5,1930,8.1,64,345,100,76,0.8,1880,7.7,14,51,13,84.6,0,1722,70,61.5,85.5,78.1,85.2,92.8,88.3,92.2,100,1
26590,2.92,7.5,134,351,108,81.5,3,1135,7.5,154,182,64.8,3,1115,7.5,123,351,124,75.8,0.9,1117,7.4,12,107,15,78.7,0.01,1220,20.1,31.9,70,90.2,69.5,91,69.5,86.1,99.7,1
46126,1.3,7.5,122,289,114,73.7,2.5,1103,7.6,122,146,64.4,2,1060,7.6,97,242,70,77.1,0.3,1094,7.6,12,99,10,96,0,1131,20.5,52.1,87.5,87.6,59.1,90.2,65.7,91.2,100,1
34365,6,7.6,236,444,236,62.7,4.9,1400,7.7,259,440,50,10,1439,7.6,140,246,122,59,0.3,1458,7.7,24,115,17,70.6,0.05,1480,45.9,72.3,97,82.9,53.3,89.8,74.1,92.8,99,5
33784,1,7.9,166,392,186,64.5,7.5,2510,8,213,198,64.6,5,2470,8,149,357,110,74.5,1.2,2390,7.8,20,94,20,80,0.02,2420,30,44.4,76,86.6,73.7,88,76,89.2,99.7,1
41598,1.2,8.2,194,419,186,72,0.4,1310,8,210,208,71.2,4.5,1333,7.9,157,341,118,72.9,1,1474,7.6,23,71,33,78.7,0.02,1340,25.2,43.3,77.8,85.4,79.2,88.1,83.1,82.3,94.3,1
36410,1.6,8,173,396,242,57,6.8,1879,8.1,253,210,63.8,6.3,1916,7.9,85,341,108,66.7,0.7,1761,7.7,21,70,18,88.9,0.03,1605,66.4,48.6,88.8,75.3,79.5,87.9,82.3,92.6,99.6,1
