@relation wine
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute Class {1.0,2.0,3.0}
@data
30.789474,45.256915,51.336894,43.298968,28.26087,9.310344,3.164557,50.943395,10.094638,36.006826,14.634149,20.512823,16.547789,3.0
62.631579,61.264818,40.641704,42.268036,21.73913,50.689654,49.367091,26.415096,33.753945,25.597272,34.959351,63.369964,53.994294,1.0
47.894752,49.999998,65.240637,58.762886,39.130435,23.103446,5.485233,88.679245,17.350158,36.689419,31.707317,30.769227,20.827389,3.0
20.789472,19.367589,27.807486,45.876288,17.391304,52.413791,27.42616,45.283018,31.861198,6.65529,37.398373,42.857145,9.771755,2.0
68.421059,21.146243,71.657756,34.020621,45.652174,64.482753,54.219412,32.075473,33.12303,51.365189,65.040646,58.974363,73.60913,1.0
53.684207,15.019762,39.572187,25.25773,30.434783,48.965518,48.52321,28.301886,30.283913,20.648465,56.910563,52.014654,52.924394,1.0
65.000004,21.146243,66.844913,48.453607,28.26087,53.448272,47.890294,28.301886,39.432177,19.112628,52.03252,93.406591,40.442225,1.0
36.842118,15.612647,49.732617,56.185566,17.391304,60.689653,59.282703,49.056599,42.902209,22.696246,17.073171,57.509155,5.278174,2.0
24.473691,6.916996,50.267376,53.608247,33.695652,82.758621,37.974686,0,39.11672,16.467577,41.463415,68.131873,43.366619,2.0
83.947378,18.972332,50.267376,29.381438,52.173913,76.551723,56.118144,24.5283,51.104101,43.515359,37.398373,74.725273,49.35806,1.0
39.473682,94.268776,68.449203,74.226804,28.26087,27.931032,5.485233,94.339617,21.766563,31.740615,27.642276,15.384618,16.904422,3.0
69.736854,21.541502,53.475929,34.020621,36.956522,49.655173,49.578061,54.716976,49.211359,21.843003,60.97561,58.608055,50.784593,1.0
41.315804,11.857708,28.877003,40.721648,19.565217,16.206897,21.518988,30.188677,29.652998,9.982936,45.528451,54.945055,20.256776,2.0
69.999992,49.802369,63.101601,48.453607,40.217391,29.310345,4.64135,69.811318,12.30284,39.249148,39.024388,20.146523,28.673324,3.0
33.157899,48.023715,45.454547,38.144329,19.565217,64.482753,55.907174,60.377354,75.709779,8.703071,76.422759,57.142855,9.129815,2.0
31.052638,8.893281,20.855614,31.958758,88.043478,29.999999,19.831223,1.886793,65.930601,13.395904,65.040646,65.934064,31.383738,2.0
27.631583,7.707509,61.497325,69.072164,8.695652,35.172412,26.160339,50.943395,31.230284,7.84983,67.479668,53.113554,25.10699,2.0
75.000006,22.727271,65.775396,22.680411,33.695652,78.275859,67.932489,7.547171,40.694009,35.409555,32.520324,83.882782,58.273894,1.0
